"Date","Way","Base amount","Base currency (name)","Base type","Quote amount","Quote currency","Exchange","Sent/Received from","Sent to","Fee amount","Fee currency (name)","Broker","Notes","Sync Base Holding","Leverage Metadata"
"2022-12-09T13:23:10.000Z","BUY",1.000215,"GOOGL (Alphabet Inc)","STOCK",101.021715,"USD","Nasdaq",,,,,,,false,
"2023-02-09T13:22:17.000Z","BUY",1.003344,"AMZN (Amazon.com Inc)","STOCK",101.02670736,"USD","Nasdaq",,,,,,,false,
"2023-03-09T13:27:28.000Z","BUY",1.980795,"500E.SW (Amundi S&P 500 Swap UCITS ETF)","FUND",153.6304602,"EUR","SIX Swiss Exchange",,,,,,,false,
"2023-06-09T12:28:31.000Z","BUY",0.100806,"MSCI (MSCI Inc)","STOCK",49.4352624,"USD","New York Stock Exchange",,,,,,,true,
"2023-07-09T12:30:56.000Z","BUY",5.970149,"OPM.PA (Opmobility)","STOCK",101.31342853,"EUR","Euronext Paris",,,,,,,false,
"2023-08-09T12:22:43.000Z","BUY",1.121266,"AAPL (Apple Inc)","STOCK",162.26961552,"USD","Nasdaq",,,,,,,false,
"2023-09-09T12:24:58.000Z","BUY",2,"TTE.PA (TotalEnergies SE)","STOCK",102.62,"EUR","Euronext Paris",,,,,,,false,
"2023-09-09T12:30:21.000Z","BUY",2.766926,"KO (Coca-Cola Co/The)","STOCK",163.33164178,"USD","New York Stock Exchange",,,,,,,false,
"2023-09-09T12:32:04.000Z","BUY",1,"C40.PA (Amundi CAC 40 ESG UCITS ETF)","FUND",119,"EUR","Euronext Paris",,,,,,,false,
"2023-10-09T12:20:29.000Z","BUY",1.704708,"COIN (Coinbase Global Inc)","STOCK",108.53875836,"USD","Nasdaq",,,,,,,false,
"2023-11-11T08:21:00.000Z","BUY",0.727834,"TTWO (Take-Two Interactive Software Inc)","STOCK",107.4646901,"USD","Nasdaq",,,,,,,false,
"2023-12-09T13:29:34.000Z","BUY",0.958904,"O (Realty Income Corp)","STOCK",52.66300768,"USD","New York Stock Exchange",,,,,,,false,
"2024-01-12T08:36:28.000Z","BUY",1,"MC.PA (LVMH Moet Hennessy Louis Vuitton SE)","STOCK",668.71,"EUR","Euronext Paris",,,4.41,"EUR",,,false,
"2024-01-12T10:04:24.000Z","BUY",1.116048,"NKE (NIKE Inc)","STOCK",117.14039808,"USD","New York Stock Exchange",,,,,,,false,
"2024-02-02T10:59:54.000Z","BUY",1,"RI.PA (Pernod Ricard SA)","STOCK",156.03,"EUR","Euronext Paris",,,,,,,false,
"2024-02-16T15:44:33.000Z","BUY",0.294776,"AAPL (Apple Inc)","STOCK",53.8555752,"USD","Nasdaq",,,,,,,false,
"2024-02-16T15:49:41.000Z","BUY",0.527983,"NKE (NIKE Inc)","STOCK",53.854266,"USD","New York Stock Exchange",,,,,,,false,
"2024-02-16T15:51:41.000Z","BUY",1.030715,"O (Realty Income Corp)","STOCK",53.85485875,"USD","New York Stock Exchange",,,,,,,false,
"2024-03-04T17:03:10.000Z","BUY",2.068252,"O (Realty Income Corp)","STOCK",108.60391252,"USD","New York Stock Exchange",,,,,,,false,
"2024-03-04T17:04:19.000Z","BUY",0.369822,"TTWO (Take-Two Interactive Software Inc)","STOCK",54.30466248,"USD","Nasdaq",,,,,,,false,
"2024-03-13T08:03:00.000Z","BUY",1,"RI.PA (Pernod Ricard SA)","STOCK",151,"EUR","Euronext Paris",,,,,,,false,
"2024-04-02T16:26:09.000Z","BUY",0.361846,"TTWO (Take-Two Interactive Software Inc)","STOCK",53.82821096,"USD","Nasdaq",,,,,,,false,
"2024-04-02T16:26:51.000Z","BUY",0.589831,"NKE (NIKE Inc)","STOCK",53.82797706,"USD","New York Stock Exchange",,,,,,,false,
"2024-04-02T16:27:30.000Z","BUY",5.179282,"OPM.PA (Opmobility)","STOCK",64.9999891,"EUR","Euronext Paris",,,,,,,false,
"2024-04-24T12:07:45.000Z","BUY",1,"RI.PA (Pernod Ricard SA)","STOCK",144.85,"EUR","Euronext Paris",,,,,,,false,
"2024-05-02T16:21:36.000Z","BUY",0.387296,"MCD (McDonald's Corp)","STOCK",107.03699552,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-02T16:22:48.000Z","BUY",0.2984,"TSLA (Tesla Inc)","STOCK",53.51804,"USD","Nasdaq",,,,,,,false,
"2024-05-21T13:18:00.000Z","SELL",11.149431,"OPM.PA (Opmobility)","STOCK",124.31615565,"EUR","Euronext Paris",,,1,"EUR",,,false,
"2024-05-21T13:18:27.000Z","BUY",0.80966,"TSLA (Tesla Inc)","STOCK",141.650017,"USD","Nasdaq",,,,,,,false,
"2024-06-03T09:08:01.000Z","BUY",0.313676,"MCD (McDonald's Corp)","STOCK",81.22953696,"USD","New York Stock Exchange",,,1,"USD",,,false,
"2024-06-05T07:57:45.000Z","BUY",1,"AI.PA (Air Liquide SA)","STOCK",183.84,"EUR","Euronext Paris",,,,,,,false,
"2024-07-16T19:54:35.000Z","SELL",1.10806,"TSLA (Tesla Inc)","STOCK",284.2395512,"USD","Nasdaq",,,,,,,false,
"2024-07-26T13:57:19.000Z","BUY",0.330425,"GOOGL (Alphabet Inc)","STOCK",54.32187,"USD","Nasdaq",,,,,,,false,
"2024-08-02T14:19:02.000Z","BUY",0.33111,"AMZN (Amazon.com Inc)","STOCK",53.7457752,"USD","Nasdaq",,,,,,,false,
"2024-08-02T15:21:49.000Z","BUY",0.526337,"500E.SW (Amundi S&P 500 Swap UCITS ETF)","FUND",50.01254174,"EUR","SIX Swiss Exchange",,,1,"EUR",,,false,
"2024-08-05T09:06:34.000Z","BUY",1,"OR.PA (L'Oreal SA)","STOCK",378.75,"EUR","Euronext Paris",,,3,"EUR",,,false,
"2024-08-05T09:28:15.000Z","BUY",0.447173,"COIN (Coinbase Global Inc)","STOCK",82.1456801,"USD","Nasdaq",,,,,,,false,
"2024-08-05T09:36:40.000Z","BUY",0.446366,"MSFT (Microsoft Corp)","STOCK",175.21650964,"USD","Nasdaq",,,,,,,false,
"2024-09-09T06:08:38.000Z","BUY",0.364166,"GOOGL (Alphabet Inc)","STOCK",55.353232,"USD","Nasdaq",,,,,,,false,
"2024-09-11T07:22:12.000Z","BUY",3,"ITP.PA (Interparfums SA)","STOCK",124.14,"EUR","Euronext Paris",,,,,,,false,
"2024-10-07T13:17:11.000Z","BUY",0.645161,"COIN (Coinbase Global Inc)","STOCK",109.81285381,"USD","Nasdaq",,,1,"USD",,,false,
